Team,Player,Event,Outcome,Mins,Secs,X,Y,X2,Y2
man city,rodri,Pass,Successful,0,0,32.4,27.0,11.9,38.9
man city,rodri,Pass,Successful,0,0,72.4,25.6,51.4,25.7
man city,rodri,Pass,Successful,0,0,88.9,57.1,107.6,39.5
man city,rodri,Pass,Successful,0,0,74.4,44.3,49.3,4.6
man city,rodri,Pass,Successful,0,0,71.6,42.3,62.9,40.1
man city,rodri,Pass,Successful,0,0,73.7,58.7,81.1,38.5
man city,rodri,Pass,Successful,0,0,90.2,19.6,74.7,19.9
man city,rodri,Pass,Successful,0,0,66.7,30.7,86.5,34.8
man city,rodri,Pass,Successful,0,0,82.2,30.0,66.4,10.7
man city,rodri,Pass,Successful,0,0,83.8,29.5,75.8,38.8
man city,rodri,Pass,Successful,0,0,82.7,51.6,73.4,35.3
man city,rodri,Pass,Successful,0,0,81.7,23.6,93.7,24.7
man city,rodri,Pass,Successful,0,0,95.0,22.8,71.8,29.2
man city,rodri,Pass,Successful,0,0,31.7,54.2,11.0,21.4
man city,rodri,Pass,Successful,0,0,29.3,27.3,25.3,15.3
man city,rodri,Pass,Successful,0,0,40.7,23.0,30.3,5.1
man city,rodri,Pass,Successful,0,0,82.8,73.4,97.2,45.2
man city,rodri,Pass,Successful,0,0,99.4,7.6,102.9,22.0
man city,rodri,Pass,Successful,0,0,95.1,15.0,82.7,31.8
man city,rodri,Pass,Successful,0,0,29.6,42.0,23.4,31.1
man city,rodri,Pass,Successful,0,0,45.4,47.2,26.3,10.6
man city,rodri,Pass,Successful,0,0,17.7,46.9,11.3,57.0
man city,rodri,Pass,Successful,0,0,87.0,45.9,89.7,29.8
man city,rodri,Pass,Successful,0,0,41.9,40.3,34.1,46.4
man city,rodri,Pass,Successful,0,0,77.7,39.0,44.0,47.7
man city,rodri,Pass,Successful,0,0,14.6,24.2,19.1,31.2
man city,rodri,Pass,Successful,0,0,78.8,53.6,64.0,50.7
